Tipo,Nombre,Telfono,Direccin,Barrio,Latitud,Longitud,Nombre anterior,Unidad Judicial,Telfono Unidad Judicial,geometry
Subcomisara,Subcomisara N 4,(0351) 4348844,Cipriano Perello s/n entre calles 7 y 8,Ampl. Ferreyra,-31.47000488,-64.1176912,Subcomisara Cdad. Ampl. Ferreyra,-,-,POINT (-64.1176912 -31.47000488)
Subcomisara,Subcomisara N 5,(0351) 4345240,Escolstico Magan s/n Mz.43 L 2,Ampl. Gral. Savio,-31.37154264,-64.15476882,Subcomisara Gral. Savio,-,-,POINT (-64.15476882 -31.37154264)
Subcomisara,Subcomisara N 6,(0351) 4348767,Calle Pblica s/n  Mz. 52 Lote 1,Ciudad de Mis Sueos,-31.47783275,-64.08556826,Subcomisara Cabo Gonzalez - Cdad. de mis Sueos,-,-,POINT (-64.08556826 -31.47783275)
Unidad Judicial,Unidad Judicial de Delitos Econmicos,(0351) 4332640 - 4287189 - 4481016,Av. Colon 1250 (Jefatura de Polica - 1 Piso),Alberdi,-31.40860628,-64.1997267,-,-,-,POINT (-64.1997267 -31.40860628)
Unidad Judicial,Unidad Judicial Homicidios,(0351) 4332659 - 4287188,Av. Colon 1250 (Jefatura de Polica - 1 Piso),Alberdi,-31.40860628,-64.1997267,-,-,-,POINT (-64.1997267 -31.40860628)
Unidad Judicial,Unidad Judicial Robos y Hurtos,(0351) 4332693 - 4287187,Av. Colon 1250 (Jefatura de Polica - 1 Piso),Alberdi,-31.40860628,-64.1997267,-,-,-,POINT (-64.1997267 -31.40860628)
Unidad Judicial,Unidad Judicial Sustraccin de Automotores,(0351) 4332657 - 4287185,Av. Colon 1250 (Jefatura de Polica - 1 Piso),Alberdi,-31.40860628,-64.1997267,-,-,-,POINT (-64.1997267 -31.40860628)
Unidad Judicial,Unidad Judicial Accidente Vial,(0351) 4331639 - 4331468,Pje. Flix Aguilar 1290,Paso de los Andes,-31.41879578,-64.2041045,-,-,-,POINT (-64.2041045 -31.41879578)
Unidad Judicial,Unidad Judicial Delitos contra la Violencia Familiar,(0351) 4298006,Duarte Quirs 650,Alto Alberdi,-31.41671447,-64.194036,-,-,-,POINT (-64.194036 -31.41671447)
Unidad Judicial,Unidad Judicial Delitos contra la Integridad Sexual,(0351) 4331484 / 85,Rondeau 258,Nueva Crdoba,-31.42322301,-64.18333959,-,-,-,POINT (-64.18333959 -31.42322301)
Unidad Judicial,Unidad Judicial Lucha contra el Narcotrfico,(0351) 4334289,Taninga 2841,Residencial San Carlos,-31.44444632,-64.166083,-,-,-,POINT (-64.166083 -31.44444632)
