tipoPropiedad,precioUSD,fechaUltimaActualizacion,terrenoTotal,terrenoEdificado,cantDormitorios,cantBanos,cantCochera,barrio,coordX,coordY,vendedor,comisariaCercana,transporteCercano,saludCercana,distanciaCentro,pm2,valComisaria,valTransporte,valSalud,valoracionServicios,geometry,barrioName
1,143000,2023-11-14,310.0,130.0,3.0,3.0,2.0,74,-31.4522438,-64.2348175,2,0.7382499392563728,0.2133292163974295,1.0668982966739828,5.6423259020697465,1100.0,0,0,0,0,POINT (-64.2348175 -31.4522438),COSTAS DE MANANTIALES
1,106999,2023-11-03,139.0,139.0,2.0,2.0,2.0,74,-31.4518045787,-64.2342396429,2,0.7467363189242889,0.2022669954465683,1.1043850388349798,5.568975739463245,769.7769784172662,0,0,0,0,POINT (-64.2342396429 -31.4518045787),COSTAS DE MANANTIALES
1,110000,2023-10-05,170.0,135.0,2.0,2.0,2.0,180,-31.4525449714,-64.234281778336,0,0.7980571435390138,0.1525841521398892,1.1260195125690218,5.624507144060596,814.8148148148148,0,0,0,0,POINT (-64.234281778336 -31.4525449714),MANANTIALES
1,94900,2023-10-17,180.0,180.0,3.0,3.0,2.0,180,-31.4481048,-64.2248022,2,1.4097162779034182,0.0321076501128794,1.186660808253722,4.62214889611304,527.2222222222222,0,0,0,0,POINT (-64.2248022 -31.4481048),MANANTIALES
1,135000,2023-10-14,300.0,145.0,3.0,2.0,2.0,180,-31.45404402697895,-64.24903352438965,0,1.0909689064045396,0.3312915782094209,0.649424228236238,6.848506489720096,931.0344827586207,0,0,0,0,POINT (-64.24903352438965 -31.45404402697895),MANANTIALES
1,95000,2023-10-20,105.0,95.0,2.0,1.0,1.0,180,-31.4573565,-64.2439455,2,1.137566279566964,0.3185033287577984,0.9315125312780764,6.67332086805588,1000.0,0,0,0,0,POINT (-64.2439455 -31.4573565),MANANTIALES
1,235000,2023-10-19,261.0,138.0,3.0,2.0,2.0,190,-31.452098,-64.240141,2,0.5015728322006284,0.3921794304183586,0.6041619719715254,6.032030386976212,1702.8985507246377,0,0,0,0,POINT (-64.240141 -31.452098),MIRADORES DE MANANTIALES
1,115000,2023-10-09,180.0,160.0,3.0,2.0,1.0,180,-31.4545245,-64.2446525,0,0.871412370716241,0.4968716332664548,0.6103641004409215,6.536851113602389,718.75,0,0,0,0,POINT (-64.2446525 -31.4545245),MANANTIALES
1,125000,2023-10-12,130.0,130.0,2.0,2.0,2.0,190,-31.45663753994618,-64.24674996301269,0,1.173913315778473,0.5962523277838343,0.8500205654393395,6.836094224236651,961.5384615384615,0,0,0,0,POINT (-64.24674996301269 -31.45663753994618),MIRADORES DE MANANTIALES
2,100000,2023-10-19,102.0,85.0,2.0,1.0,1.0,180,-31.4546906,-64.2318655,2,1.1286717507511312,0.1898474772221697,1.430505791758754,5.611353241541101,1176.4705882352941,0,0,0,0,POINT (-64.2318655 -31.4546906),MANANTIALES
1,130000,2023-10-19,130.0,120.0,3.0,3.0,1.0,190,-31.4545124,-64.243752,2,0.8337734236407788,0.4957090030886043,0.6252015672059613,6.466995313183694,1083.3333333333333,0,0,0,0,POINT (-64.243752 -31.4545124),MIRADORES DE MANANTIALES
1,118000,2023-10-16,135.0,105.0,2.0,2.0,2.0,190,-31.452804,-64.243833,0,0.6662372668189829,0.4447938471436202,0.441478499314569,6.362782372307844,1123.8095238095239,0,0,0,0,POINT (-64.243833 -31.452804),MIRADORES DE MANANTIALES
1,132000,2023-11-15,125.0,135.0,3.0,3.0,2.0,190,-31.454806,-64.244643,2,0.8988153177521886,0.5213485610057554,0.6415497704848883,6.554494619280409,977.7777777777778,0,0,0,0,POINT (-64.244643 -31.454806),MIRADORES DE MANANTIALES
