id;tipoPropiedad;precioUSD;fechaUltimaActualizacion;vendedor;terrenoTotal;terrenoEdificado;cantDormitorios;cantBanos;cantCochera;barrio;ciudad;coordX;coordY;URL
52376274;CASA;42000;2023-09-21;INMOBILIARIA;120.0;79.0;2.0;1.0;;ALTO ALBERDI;CORDOBA;-31.4111734;-64.2232295;https://www.zonaprop.com.ar/propiedades/casa-de-2-dorm.-en-venta-en-alto-alberdi-a-m-de-52376274.html
52379661;CASA;119500;2023-09-21;INMOBILIARIA;377.0;250.0;4.0;2.0;;QUEBRADA DE LAS ROSAS;CORDOBA;-31.3847064;-64.2584061;https://www.zonaprop.com.ar/propiedades/espectacular-casa-esquina-4-dorm!-b-chateau-52379661.html
52373776;CASA;38000;2023-09-21;INMOBILIARIA;448.0;110.0;;1.0;2.0;LIQUIDO CASA EN CRUZ DEL EJE;CRUZ DEL EJE;-30.743695;-64.7890438;https://www.zonaprop.com.ar/propiedades/liquido-casa-en-cruz-del-eje-52373776.html
52382407;CASA;380000;2023-09-21;INMOBILIARIA;758.0;333.0;3.0;3.0;;VALLE ESCONDIDO;CORDOBA;-31.3733216;-64.2779287;https://www.zonaprop.com.ar/propiedades/valle-escondido-los-arboles-casa-de-amplios-52382407.html
52378754;DEPARTAMENTO;70000;2023-09-21;INMOBILIARIA;55.0;55.0;2.0;2.0;;ALTO ALBERDI;CORDOBA;-31.4034172;-64.2210095;https://www.zonaprop.com.ar/propiedades/alto-alberdi-depto-estrenar-2dor-planta-baja-piscina-52378754.html
52381063;CASA;69000;2023-09-21;INMOBILIARIA;1200.0;80.0;2.0;1.0;1.0;VENDO DUPLEX EN COMPLEJO IDEAL PARA RENTA TEMPORARIA - LA CUMBRE;LA CUMBRE;-30.9887335;-64.493967;https://www.zonaprop.com.ar/propiedades/vendo-duplex-en-complejo-ideal-para-renta-temporaria-52381063.html
52381916;DEPARTAMENTO;375000;2023-09-21;INMOBILIARIA;130.0;120.0;2.0;3.0;2.0;VILLA BELGRANO;CORDOBA;-31.3652613;-64.2601742;https://www.zonaprop.com.ar/propiedades/vdo-departamento-de-categoria-2-dor-c-patio-planta-52381916.html
52380388;DEPARTAMENTO;49900;2023-09-21;INMOBILIARIA;49.0;44.0;1.0;1.0;;ALBERDI;CORDOBA;-31.420084;-64.18877411;https://www.zonaprop.com.ar/propiedades/departamento-terraforte-2-1-dormitorio-52380388.html
52380650;TERRENO;12000;2023-09-21;INMOBILIARIA;1120.0;;;;;TERRENOS EN VENTA EN HUERTA GRANDE;HUERTA GRANDE;-31.0741493463;-64.5012537307;https://www.zonaprop.com.ar/propiedades/terrenos-en-venta-en-huerta-grande-52380650.html
52383191;TERRENO;26500;2023-09-21;INMOBILIARIA;250.0;;;;;MANANTIALES;CORDOBA;-31.4840119;-64.2644422;https://www.zonaprop.com.ar/propiedades/lote-en-venta-abras-de-manantiales-250-m-sup2-52383191.html
52371735;CASA;240000;2023-09-21;INMOBILIARIA;270.0;255.0;3.0;4.0;3.0;VENTA CASA TEJAS DEL SUR I - 3 DORMIT. - PILETA;CORDOBA;-31.464822483963;-64.194200497207;https://www.zonaprop.com.ar/propiedades/venta-casa-tejas-del-sur-i-3-dormit.-pileta-52371735.html
52378713;TERRENO;34999;2023-09-21;PARTICULAR;480.0;;;;;VALLE DEL GOLF;MALAGUENO;-31.482588430985626;-64.41500690999503;https://www.zonaprop.com.ar/propiedades/dueno-vende-hermoso-lote-country-valle-del-golf-52378713.html
52382028;DEPARTAMENTO;230000;2023-09-21;INMOBILIARIA;120.0;120.0;2.0;2.0;2.0;VILLA BELGRANO;CORDOBA;-31.3507984;-64.2537686;https://www.zonaprop.com.ar/propiedades/departamentos-en-venta-en-aires-de-neper-villa-52382028.html
52380947;TERRENO;30000;2023-09-21;INMOBILIARIA;250.0;250.0;;;;DOCTA;CORDOBA;-31.4586467;-64.30680939999999;https://www.zonaprop.com.ar/propiedades/lote-250-m-sup2--docta-lado-malagueno-etapa-1-52380947.html
52380440;DEPARTAMENTO;24000;2023-09-21;INMOBILIARIA;40.0;40.0;1.0;1.0;;SAN MARTIN;CORDOBA;-31.38475418;-64.19921112;https://www.zonaprop.com.ar/propiedades/departamento-cordoba-52380440.html
52372664;CASA;87000;2023-09-21;PARTICULAR;287.0;181.0;3.0;2.0;1.0;VILLA CABRERA;CORDOBA;-31.3893135;-64.21188649999999;https://www.zonaprop.com.ar/propiedades/villa-cabrera-casa-3-dorm-a-m-de-caraffa-52372664.html
52384920;CASA;95000;2023-09-21;INMOBILIARIA;1039.0;198.0;3.0;3.0;3.0;SE VENDE CASA EN BIALET MASSE;VILLA CARLOS PAZ;-31.4207828;-64.4992141;https://www.zonaprop.com.ar/propiedades/se-vende-casa-en-bialet-masse-52384920.html
52377173;DEPARTAMENTO;180000;2023-09-21;INMOBILIARIA;129.0;70.0;1.0;1.0;;NUEVA CORDOBA;CORDOBA;-31.4284343;-64.19064589999999;https://www.zonaprop.com.ar/propiedades/vendo-duplex-premium-1-dormitorio.-b-nueva-cordoba.-52377173.html
52379319;DEPARTAMENTO;200000;2023-09-21;INMOBILIARIA;70.0;70.0;2.0;1.0;1.0;VENTA DEPARTAMENTO - 2 DORM. - COMPLEJO VENETO VILLAGE - PARQUE SIQUIMAN;VILLA PARQUE SIQUIMAN;-31.3423713;-64.4747441;https://www.zonaprop.com.ar/propiedades/venta-departamento-2-dorm.-complejo-veneto-village-52379319.html
52379878;DEPARTAMENTO;67000;2023-09-21;INMOBILIARIA;40.0;40.0;1.0;1.0;;NUEVA CORDOBA;CORDOBA;-31.4248143;-64.1939862;https://www.zonaprop.com.ar/propiedades/a-m-de-nueva-cordova-52379878.html
52382453;TERRENO;185000;2023-09-21;INMOBILIARIA;380.0;;;;;ALEJANDRO CENTENO;CORDOBA;-31.3606035;-64.233449;https://www.zonaprop.com.ar/propiedades/av-cordillera-4500-terreno-esquina-380-m-sup2--52382453.html
52376220;CASA;39000;2023-09-21;PARTICULAR;352.0;20.0;;1.0;1.0;CENTRO;LA FALDA;-31.094953835832268;-64.4893471390701;https://www.zonaprop.com.ar/propiedades/casa-con-amplio-terreno-en-el-centro-de-la-falda-52376220.html
52382730;DEPARTAMENTO;100000;2023-09-21;INMOBILIARIA;63.0;;1.0;1.0;;VENTA DEPARTAMENTO 1 DORMITORIO EN CIUDAD GAMA;CORDOBA;-31.3958849;-64.2456423;https://www.zonaprop.com.ar/propiedades/venta-departamento-1-dormitorio-en-ciudad-gama-52382730.html
52384082;DEPARTAMENTO;50000;2023-09-21;INMOBILIARIA;42.0;42.0;1.0;1.0;;GENERAL PAZ;CORDOBA;-31.4122096;-64.1595846;https://www.zonaprop.com.ar/propiedades/vendo-departamento-de-un-dormitorio-en-barrio-general-52384082.html
52383802;CASA;200000;2023-09-21;INMOBILIARIA;648.0;300.0;4.0;2.0;3.0;ROSEDAL;CORDOBA;-31.432224;-64.227204;https://www.zonaprop.com.ar/propiedades/rosedal-espectacular-casa-de-4-dorm-apto-para-uso-52383802.html
52379111;DEPARTAMENTO;36105;2023-09-21;INMOBILIARIA;60.0;50.0;1.0;1.0;;GENERAL PAZ;CORDOBA;-31.402585559;-64.1686546755;https://www.zonaprop.com.ar/propiedades/alumine-23-duplex-con-terraza-y-asador-propio-52379111.html
52379478;DEPARTAMENTO;85000;2023-09-21;INMOBILIARIA;63.0;48.0;1.0;1.0;;NUEVA CORDOBA;CORDOBA;-31.4311963;-64.1905113;https://www.zonaprop.com.ar/propiedades/nueva-cordoba-un-dormitorio-pileta-y-asador-52379478.html
52382440;CASA;118000;2023-09-21;INMOBILIARIA;250.0;157.0;3.0;2.0;;AYACUCHO;CORDOBA;-31.3802812;-64.1746209;https://www.zonaprop.com.ar/propiedades/av-capdevilla-a-m-j.-b-justo-impecable-casa-3-dorm.-52382440.html
52379311;TERRENO;83000;2023-09-21;INMOBILIARIA;1375.0;;;;;LA DESEADA COUNTRY;LA CALERA;-31.355595;-64.3227122;https://www.zonaprop.com.ar/propiedades/1375-m-sup2--espectacular-ubicacion!-terreno-en-la-52379311.html
52379522;CASA;138000;2023-09-21;INMOBILIARIA;743.0;205.0;3.0;2.0;2.0;ARGUELLO;CORDOBA;-31.3341428589;-64.2820704495;https://www.zonaprop.com.ar/propiedades/casa-en-venta-sinchi-roca-7700-quisquizacate-cordoba-52379522.html
52383351;CASA;210000;2023-09-21;PARTICULAR;800.0;416.0;5.0;3.0;2.0;VILLA CENTENARIO;CORDOBA;-31.3623587;-64.23205639999999;https://www.zonaprop.com.ar/propiedades/en-venta-oportunidad-casa-5-dorm.-barrio-centenario-52383351.html
52382913;CASA;440000;2023-09-21;INMOBILIARIA;1430.0;;3.0;3.0;2.0;CASA EN LA PANKANA 3 DORM.! 1 SOLA PLANTA;LA CALERA;-31.3412558;-64.3102272;https://www.zonaprop.com.ar/propiedades/casa-en-la-pankana-3-dorm!-1-sola-planta-52382913.html
52379479;CASA;360000;2023-09-21;INMOBILIARIA;426.0;;5.0;4.0;1.0;VILLA BELGRANO;CORDOBA;-31.3566834;-64.2438441;https://www.zonaprop.com.ar/propiedades/casa-3-dorm-recta-martinolli-b-villa-belgrano-52379479.html
52376078;DEPARTAMENTO;125000;2023-09-21;INMOBILIARIA;140.0;130.0;4.0;2.0;1.0;ALTO ALBERDI;CORDOBA;-31.4089423;-64.2068663;https://www.zonaprop.com.ar/propiedades/venta-depto-3-dorm-c-coch-comp-alas-alto-alberdi-52376078.html
