nombre,descripcion,Latitud,Longitud
AN01 - A. Centeno (Parada Terminal),AV. PADRE CLARET Y JUAN PERAZO  Entorno: 20 mts. Curso:48AN01,-31.356226,-64.237976
AN08 - A. Centeno (Parada),Manuel Lopez 4350  Entorno: 10 mts. Curso:206AN08,-31.358064,-64.23245
AN05 - A. Centeno (Parada),Leopoldo Buteler 4688  Entorno: 15 mts. Curso:156AN05,-31.357336,-64.230643
AN09 - A. Centeno (Parada),Manuel Lopez S/n  Entorno: 15 mts. Curso:208AN09,-31.359485,-64.233301
AN07 - A. Centeno (Parada),Manuel Lopez 4618  Entorno: 15 mts. Curso:204AN07,-31.357043,-64.23188
AN03 - A. Centeno (Parada),Juan Perazzo 4651  Entorno: 15 mts. Curso:118AN03,-31.358166,-64.232751
AN02 - A. Centeno (Parada),Juan Perazo 4891  Entorno: 15 mts. Curso:120AN02,-31.356393,-64.237145
AN04 - A. Centeno (Parada),Juan Perazzo 4803  Entorno: 15 mts. Curso:116AN04,-31.356953,-64.235386
AN06 - A. Centeno (Parada),Manuel Cardeñosa 4584  Entorno: 15 mts. Curso:312AN06,-31.357026,-64.230471
AO10 - Aeronautico (Parada),Garcia casi Av Fuerza Aerea Garcia casi Av Fuerza Aerea Entorno: 30 mts. Curso:0AO10,-31.43302,-64.27456
AO01 - Aeronautico (Parada Terminal),Av Fuerza Aerea y Alto Alegre Av Fuerza Aerea y Alto Alegre Entorno: 30 mts. Curso:172AO01,-31.43371,-64.263666
AO05 - Aeronautico (Parada),Av Fuerza Aerea 5000  Entorno: 15 mts. Curso:264AO05,-31.433156,-64.255711
AO11 - Aeronautico (Parada),Av Fuerza Aerea 5000  Entorno: 15 mts. Curso:86AO11,-31.433153,-64.255589
AO02 - Aeronautico (Parada),Garcia casi Av Fuerza Aerea Garcia casi Av Fuerza Aerea Entorno: 30 mts. Curso:266AO02,-31.433016,-64.274503
AO06 - Aeronautico (Parada),Alto Alegre s/n  Entorno: 10 mts. Curso:4AO06,-31.43249,-64.263843
AO12 - Aeronautico (Parada Terminal),A Alegre y Sgto Romero A Alegre y Sgto Romero Entorno: 15 mts. Curso:84AO12,-31.433183,-64.263948
AO03 - Aeronautico (Parada Terminal),A Alegre y Sgto Romero A Alegre y Sgto Romero Entorno: 15 mts. Curso:180AO03,-31.433255,-64.263956
AO08 - Aeronautico (Parada),Sgto. Romero 999  Entorno: 10 mts. Curso:86AO08,-31.43353,-64.268845
AO04 - Aeronautico (Parada Terminal),Escuela de Aviacion Escuela de Aviacion Entorno: 30 mts. Curso:306AO04,-31.438766,-64.272818
AO09 - Aeronautico (Parada Terminal),Av Fuerza Aerea y Alto Alegre Av Fuerza Aerea y Alto Alegre Entorno: 30 mts. Curso:266AO09,-31.433701,-64.263556
AO07 - Aeronautico (Parada),Sgto. Romero 9999  Entorno: 10 mts. Curso:86AO07,-31.433266,-64.265021
AE03 - Aeropuerto (Parada),Colectora Externa E53  Entorno: 15 mts. Curso:142AE03,-31.316448,-64.217403
AE05 - Aeropuerto (Parada),Parque empresarial  Entorno: 10 mts. Curso:292AE05,-31.311325,-64.221026
AE02 - Aeropuerto (Parada),Av. La Voz del Interior 8447  Entorno: 15 mts. Curso:150AE02,-31.319166,-64.215225
AE01 - Aeropuerto (Parada Terminal),AEROPUERTO  Entorno: 48 mts. Curso:2AE01,-31.315401,-64.213885
AE04 - Aeropuerto (Parada),Salida Aeropueto Taravella  Entorno: 15 mts. Curso:280AE04,-31.315531,-64.216295
AL12 - Alberdi (Parada Terminal),AV. COLON Y CLERMONT  Entorno: 15 mts. Curso:200AL12,-31.405266,-64.211511
AL13 - Alberdi (Parada),Av Colon 1800  Entorno: 15 mts. Curso:288AL13\n LINEA 80: 266\n LINEA 80: 274,-31.406613,-64.207113
AL17 - Alberdi (Parada),Santa Fe 321  Entorno: 15 mts. Curso:198AL17,-31.407213,-64.200283
AL11 - Alberdi (Parada),Av Colon 2040-2049  Entorno: 15 mts. Curso:110AL11\n LINEA 82: 110\n LINEA 80: 94\n LINEA 80: 78\n LINEA 81: 96\n LINEA 82: 96,-31.40575,-64.209916
AL08 - Alberdi (Parada Terminal),Av Colon 2280  Entorno: 15 mts. Curso:290AL08\n LINEA 82: 290\n LINEA 80: 292,-31.405003,-64.212176
AL18 - Alberdi (Parada),Santa Fe 362  Entorno: 15 mts. Curso:18AL18,-31.40647,-64.199995
AL20 - Alberdi (Parada),Colón 1780  Entorno: 15 mts. Curso:110AL20,-31.406721,-64.206641
AL21 - Alberdi (Parada),Av Colon 1880-1881  Entorno: 20 mts. Curso:106AL21,-31.406381,-64.207891
AL01 - Alberdi (Parada Terminal),Av Colon 1880-1881  Entorno: 20 mts. Curso:288AL01\n LINEA B: 274\n LINEA B1: 288\n LINEA 82: 288\n LINEA 82: 110\n LINEA 81: 274\n LINEA 81: 94\n LINEA 82: 274\n LINEA 82: 88,-31.406354,-64.207961
AL03 - Alberdi (Parada),Av Colon 1537-1557  Entorno: 17 mts. Curso:90AL03\n LINEA 82: 108\n LINEA 80: 84\n LINEA 80: 90\n LINEA 82: 82,-31.407513,-64.203853
AL19 - Alberdi (Parada),MONTEVIDEO 1800  Entorno: 15 mts. Curso:282AL19,-31.415623,-64.209915
AL28 - Alberdi (Parada),Santa Fe 347  Entorno: 10 mts.AL28,-31.406775,-64.200148
AL06 - Alberdi (Parada),Av Colon 1955  Entorno: 10 mts. Curso:110AL06\n LINEA B: 94\n LINEA B1: 108\n LINEA B1: 110,-31.406159,-64.208671
AL22 - Alberdi (Parada Terminal),Santa Fe 425-434  Entorno: 15 mts. Curso:196AL22,-31.405726,-64.199711
AL15 - Alberdi (Parada),Av Colon 1699  Entorno: 15 mts. Curso:110AL15\n LINEA 82: 108\n LINEA 80: 92\n LINEA 81: 84\n LINEA 82: 96,-31.406921,-64.205991
AL10 - Alberdi (Parada Terminal),Av Colon 2217  Entorno: 15 mts. Curso:110AL10\n LINEA B: 110\n LINEA B1: 110\n LINEA 82: 110\n LINEA 80: 100\n LINEA 80: 102\n LINEA 81: 98\n LINEA 82: 100,-31.405165,-64.211838
AL02 - Alberdi (Parada Terminal),Santa Fe 425-434  Entorno: 15 mts. Curso:18AL02\n LINEA 36: 198\n LINEA 36: 18\n LINEA 35: 196\n LINEA 35: 18,-31.405781,-64.19973
AL04 - Alberdi (Parada),Av Colon 1470 (Hosp Clinicas)  Entorno: 15 mts. Curso:290AL04\n LINEA B: 288\n LINEA B1: 290,-31.407705,-64.203096
AL23 - Alberdi (Parada),Av Colon 2040-2049  Entorno: 15 mts. Curso:290AL23,-31.405808,-64.209738
AL26 - Alberdi (Parada),Av Colon 1649  Entorno: 15 mts. Curso:106AL26,-31.407148,-64.205221
AL14 - Alberdi (Parada),Av Colon 1649  Entorno: 15 mts. Curso:108AL14\n LINEA B: 74\n LINEA B1: 106\n LINEA B1: 108,-31.407135,-64.205271
AL16 - Alberdi (Parada),Santa Fe 340  Entorno: 15 mts. Curso:20AL16,-31.40683,-64.200071
